country_abbrev_cow,country_code_cow,country_name_cow,country_name_usdos,date_start,date_end,us_mission_status
AAB,58,Antigua & Barbuda,Antigua and Barbuda,1981-11-01,1994-06-29,Embassy
AAB,58,Antigua & Barbuda,Antigua and Barbuda,1994-06-30,2024-12-31,Ambassador Nonresident
AFG,700,Afghanistan,Afghanistan,1919-08-08,1935-05-03,None
AFG,700,Afghanistan,Afghanistan,1935-05-04,1942-06-05,Envoy Nonresident
AFG,700,Afghanistan,Afghanistan,1942-06-06,1948-06-04,Legation
AFG,700,Afghanistan,Afghanistan,1948-06-05,1989-01-29,Embassy
AFG,700,Afghanistan,Afghanistan,1989-01-30,2001-12-16,None
AFG,700,Afghanistan,Afghanistan,2001-12-17,2002-01-16,Liaison
AFG,700,Afghanistan,Afghanistan,2002-01-17,2021-08-30,Embassy
AFG,700,Afghanistan,Afghanistan,2021-08-31,2021-11-11,None
AFG,700,Afghanistan,Afghanistan,2021-11-12,2024-12-31,Interests
ALB,339,Albania,Albania,1914-01-01,1922-12-03,None
ALB,339,Albania,Albania,1922-12-04,1939-04-07,Legation
ALB,339,Albania,Albania,1944-11-17,1991-09-30,None
ALB,339,Albania,Albania,1991-10-01,2024-12-31,Embassy
ALG,615,Algeria,Algeria,1962-07-05,1962-09-28,Consulate
ALG,615,Algeria,Algeria,1962-09-29,1967-06-05,Embassy
ALG,615,Algeria,Algeria,1967-06-06,1974-11-11,Interests
ALG,615,Algeria,Algeria,1974-11-12,2024-12-31,Embassy
AND,232,Andorra,Andorra,1993-07-28,1995-02-20,None
AND,232,Andorra,Andorra,1995-02-21,1998-10-29,Consul Nonresident
AND,232,Andorra,Andorra,1998-10-30,2024-12-31,Ambassador Nonresident
ANG,540,Angola,Angola,1975-11-11,1992-01-09,None
ANG,540,Angola,Angola,1992-01-10,1994-07-13,Liaison
ANG,540,Angola,Angola,1994-07-14,2024-12-31,Embassy
ARG,160,Argentina,Argentina,1841-01-01,1914-09-30,Legation
ARG,160,Argentina,Argentina,1914-10-01,1944-06-26,Embassy
ARG,160,Argentina,Argentina,1944-06-27,1945-04-18,Liaison
ARG,160,Argentina,Argentina,1945-04-19,2024-12-31,Embassy
ARM,371,Armenia,Armenia,1991-12-26,1992-02-02,None
ARM,371,Armenia,Armenia,1992-02-03,2024-12-31,Embassy
AUH,300,Austria-Hungary,Austrian Empire,1816-01-01,1829-10-09,None
AUH,300,Austria-Hungary,Austrian Empire,1829-10-10,1838-11-06,Consulate
AUH,300,Austria-Hungary,Austrian Empire,1838-11-07,1902-06-25,Legation
AUH,300,Austria-Hungary,Austrian Empire,1902-06-26,1917-04-07,Embassy
AUH,300,Austria-Hungary,Austrian Empire,1917-04-08,1918-11-12,None
AUL,900,Australia,Australia,1920-01-10,1940-07-16,None
AUL,900,Australia,Australia,1940-07-17,1946-07-08,Legation
AUL,900,Australia,Australia,1946-07-09,2024-12-31,Embassy
AUS,305,Austria,Austria,1919-09-10,1921-11-25,None
AUS,305,Austria,Austria,1921-11-26,1938-03-13,Legation
AUS,305,Austria,Austria,1955-07-27,2024-12-31,Embassy
AZE,373,Azerbaijan,Azerbaijan,1991-12-26,1992-03-15,None
AZE,373,Azerbaijan,Azerbaijan,1992-03-16,2024-12-31,Embassy
BAD,267,Baden,Baden,1816-01-01,1832-07-12,None
BAD,267,Baden,Baden,1832-07-13,1868-07-18,Consulate
BAD,267,Baden,Baden,1868-07-19,1871-01-18,Envoy Nonresident
BAH,692,Bahrain,Bahrain,1971-08-15,1971-09-20,None
BAH,692,Bahrain,Bahrain,1971-09-21,2024-12-31,Embassy
BAR,53,Barbados,Barbados,1966-11-30,2024-12-31,Embassy
BAV,245,Bavaria,Bavaria,1816-01-01,1833-07-03,None
BAV,245,Bavaria,Bavaria,1833-07-04,1868-05-25,Consulate
BAV,245,Bavaria,Bavaria,1868-05-26,1871-01-18,Envoy Nonresident
BEL,211,Belgium,Belgium,1830-12-20,1832-09-24,None
BEL,211,Belgium,Belgium,1832-09-25,1919-10-02,Legation
BEL,211,Belgium,Belgium,1919-10-03,1940-05-28,Embassy
BEL,211,Belgium,Belgium,1945-06-26,2024-12-31,Embassy
BEN,434,Benin,Benin (Dahomey),1960-08-01,1961-02-14,Ambassador Nonresident
BEN,434,Benin,Benin (Dahomey),1961-02-15,2024-12-31,Embassy
BFO,439,Burkina Faso,Burkina Faso (Upper Volta),1960-08-05,1960-12-30,Ambassador Nonresident
BFO,439,Burkina Faso,Burkina Faso (Upper Volta),1960-12-31,2024-12-31,Embassy
BHM,31,Bahamas,"Bahamas, The",1973-07-10,2024-12-31,Embassy
BHU,760,Bhutan,,1971-09-21,2024-12-31,None
BLR,370,Belarus,Belarus,1991-12-26,1992-01-30,None
BLR,370,Belarus,Belarus,1992-01-31,2024-12-31,Embassy
BLZ,80,Belize,Belize,1981-09-21,1981-10-28,Consulate
BLZ,80,Belize,Belize,1981-10-29,2024-12-31,Embassy
BNG,771,Bangladesh,Bangladesh,1971-12-16,1972-05-17,Consulate
BNG,771,Bangladesh,Bangladesh,1972-05-18,2024-12-31,Embassy
BOL,145,Bolivia,Bolivia,1848-01-01,1849-01-02,None
BOL,145,Bolivia,Bolivia,1849-01-03,1942-01-03,Legation
BOL,145,Bolivia,Bolivia,1942-01-04,1943-12-19,Embassy
BOL,145,Bolivia,Bolivia,1943-12-20,1944-11-15,None
BOL,145,Bolivia,Bolivia,1944-11-16,1980-06-30,Embassy
BOL,145,Bolivia,Bolivia,1980-07-01,1980-07-16,Liaison
BOL,145,Bolivia,Bolivia,1980-07-17,1981-12-09,None
BOL,145,Bolivia,Bolivia,1981-12-10,2024-12-31,Embassy
BOS,346,Bosnia and Herzegovina,Bosnia and Herzegovina,1992-04-07,1993-06-22,None
BOS,346,Bosnia and Herzegovina,Bosnia and Herzegovina,1993-06-23,1994-07-03,Ambassador Nonresident
BOS,346,Bosnia and Herzegovina,Bosnia and Herzegovina,1994-07-04,2024-12-31,Embassy
BOT,571,Botswana,Botswana,1966-09-30,2024-12-31,Embassy
BRA,140,Brazil,Brazil,1822-09-07,1825-10-28,None
BRA,140,Brazil,Brazil,1825-10-29,1905-01-12,Legation
BRA,140,Brazil,Brazil,1905-01-13,2024-12-31,Embassy
BRU,835,Brunei,Brunei,1984-01-01,2024-12-31,Embassy
BUI,516,Burundi,Burundi,1962-07-01,1962-12-14,Embassy
BUI,516,Burundi,Burundi,1962-12-15,1963-09-15,Legation
BUI,516,Burundi,Burundi,1963-09-16,2024-12-31,Embassy
BUL,355,Bulgaria,Bulgaria,1908-10-05,1912-01-31,Liaison
BUL,355,Bulgaria,Bulgaria,1912-02-01,1919-03-17,Envoy Nonresident
BUL,355,Bulgaria,Bulgaria,1919-03-18,1941-12-12,Legation
BUL,355,Bulgaria,Bulgaria,1941-12-13,1947-09-26,None
BUL,355,Bulgaria,Bulgaria,1947-09-27,1950-02-19,Legation
BUL,355,Bulgaria,Bulgaria,1950-02-20,1960-03-13,None
BUL,355,Bulgaria,Bulgaria,1960-03-14,1966-11-27,Legation
BUL,355,Bulgaria,Bulgaria,1966-11-28,2024-12-31,Embassy
CAM,811,Cambodia,Cambodia,1953-11-09,1965-05-02,Embassy
CAM,811,Cambodia,Cambodia,1965-05-03,1969-08-15,None
CAM,811,Cambodia,Cambodia,1969-08-16,1975-04-11,Embassy
CAM,811,Cambodia,Cambodia,1975-04-12,1991-11-10,None
CAM,811,Cambodia,Cambodia,1991-11-11,1994-05-16,Liaison
CAM,811,Cambodia,Cambodia,1994-05-17,2024-12-31,Embassy
CAN,20,Canada,Canada,1920-01-10,1927-05-31,None
CAN,20,Canada,Canada,1927-06-01,1943-11-18,Legation
CAN,20,Canada,Canada,1943-11-19,2024-12-31,Embassy
CAO,471,Cameroon,Cameroon,1960-01-01,2024-12-31,Embassy
CAP,402,Cape Verde,Cabo Verde,1975-07-05,1976-11-17,None
CAP,402,Cape Verde,Cabo Verde,1976-11-18,1978-01-27,Ambassador Nonresident
CAP,402,Cape Verde,Cabo Verde,1978-01-28,2024-12-31,Embassy
CDI,437,Ivory Coast,Cote d’Ivoire (Ivory Coast),1960-08-07,2024-12-31,Embassy
CEN,482,Central African Republic,Central African Republic,1960-08-13,1961-02-09,Ambassador Nonresident
CEN,482,Central African Republic,Central African Republic,1961-02-10,1997-03-30,Embassy
CEN,482,Central African Republic,Central African Republic,1997-03-31,1999-01-31,None
CEN,482,Central African Republic,Central African Republic,1999-02-01,2024-12-31,Embassy
CHA,483,Chad,Chad,1960-08-11,1961-01-31,Ambassador Nonresident
CHA,483,Chad,Chad,1961-02-01,1980-03-23,Embassy
CHA,483,Chad,Chad,1980-03-24,1982-01-14,None
CHA,483,Chad,Chad,1982-01-15,2024-12-31,Embassy
CHL,155,Chile,Chile,1839-01-01,1914-09-30,Legation
CHL,155,Chile,Chile,1914-10-01,2024-12-31,Embassy
CHN,710,China,China,1860-10-25,1912-02-11,Legation
CHN,710,China,China,1912-02-12,1913-05-01,None
CHN,710,China,China,1913-05-02,1924-12-08,Legation
CHN,710,China,China,1924-12-09,1928-07-24,None
CHN,710,China,China,1928-07-25,1935-06-17,Legation
CHN,710,China,China,1935-06-18,1949-09-30,Embassy
CHN,710,China,China,1949-10-01,1973-04-30,None
CHN,710,China,China,1973-05-01,1979-02-28,Liaison
CHN,710,China,China,1979-03-01,2024-12-31,Embassy
COL,100,Colombia,Colombia,1831-01-01,1939-02-14,Legation
COL,100,Colombia,Colombia,1939-02-15,2024-12-31,Embassy
COM,581,Comoros,Comoros,1975-12-31,1977-08-14,None
COM,581,Comoros,Comoros,1977-08-15,1985-08-25,Ambassador Nonresident
COM,581,Comoros,Comoros,1985-08-26,1993-09-29,Embassy
COM,581,Comoros,Comoros,1993-09-30,2024-12-31,Ambassador Nonresident
CON,484,Congo,Republic of the Congo,1960-08-15,1965-08-14,Embassy
CON,484,Congo,Republic of the Congo,1965-08-15,1977-10-29,None
CON,484,Congo,Republic of the Congo,1977-10-30,2024-12-31,Embassy
COS,94,Costa Rica,Costa Rica,1920-01-01,1920-10-14,None
COS,94,Costa Rica,Costa Rica,1920-10-15,1943-05-19,Legation
COS,94,Costa Rica,Costa Rica,1943-05-20,2024-12-31,Embassy
CRO,344,Croatia,Croatia,1992-01-15,1992-08-24,None
CRO,344,Croatia,Croatia,1992-08-25,2024-12-31,Embassy
CUB,40,Cuba,Cuba,1902-05-20,1902-05-26,None
CUB,40,Cuba,Cuba,1902-05-27,1906-09-25,Legation
CUB,40,Cuba,Cuba,1909-01-23,1923-02-09,Legation
CUB,40,Cuba,Cuba,1923-02-10,1961-01-02,Embassy
CUB,40,Cuba,Cuba,1961-01-03,1977-08-31,None
CUB,40,Cuba,Cuba,1977-09-01,2015-07-19,Interests
CUB,40,Cuba,Cuba,2015-07-20,2024-12-31,Embassy
CYP,352,Cyprus,Cyprus,1960-08-16,2024-12-31,Embassy
CZE,315,Czechoslovakia,Czechoslovakia,1918-10-28,1919-06-10,None
CZE,315,Czechoslovakia,Czechoslovakia,1919-06-11,1939-03-15,Legation
CZE,315,Czechoslovakia,Czechoslovakia,1945-05-10,1992-12-31,Embassy
CZR,316,Czech Republic,Czechia,1993-01-01,2024-12-31,Embassy
DEN,390,Denmark,Denmark,1816-01-01,1827-09-19,Consulate
DEN,390,Denmark,Denmark,1827-09-20,1940-04-09,Legation
DEN,390,Denmark,Denmark,1945-05-07,1945-06-15,None
