state_dept_name,status_change,year,month,day,last_verified,notes
Afghanistan,Envoy Nonresident,1935,5,4,2023-12-04,
Afghanistan,Legation,1942,6,6,2023-12-04,
Afghanistan,Embassy,1948,6,5,2023-12-04,
Afghanistan,None,1989,1,30,2023-12-04,
Afghanistan,Liaison,2001,12,17,2023-12-04,
Afghanistan,Embassy,2002,1,17,2023-12-04,
Afghanistan,Interests,2021,8,31,2023-12-04,"AP story 2021-11-12 ""Qatar agrees to represent US interests in Afghanistan"""
Albania,Legation,1922,12,4,2023-12-04,
Albania,None,1939,9,16,2023-12-04,
Albania,Embassy,1991,10,1,2023-12-04,Chiefs of Mission page for Albania
Algeria,Consulate,1796,3,4,2023-12-04,
Algeria,None,1812,7,25,2023-12-04,
Algeria,Consulate,1815,7,,2023-12-04,
Algeria,None,1830,,,2023-12-04,
Algeria,Consulate,1835,,,2023-12-04,
Algeria,Embassy,1962,9,29,2023-12-04,
Algeria,Interests,1967,6,6,2023-12-04,
Algeria,Embassy,1974,11,12,2023-12-04,
Andorra,Ambassador Nonresident,1998,10,30,2023-12-04,
Angola,Liaison,1992,1,10,2023-12-04,
Angola,Embassy,1994,7,14,2023-12-04,
Antigua and Barbuda,Embassy,1981,11,1,2023-12-05,
Antigua and Barbuda,Ambassador Nonresident,1994,6,30,2023-12-05,
Argentina,Legation,1823,12,27,2023-12-05,
Argentina,Embassy,1914,10,1,2023-12-05,
Argentina,Liaison,1944,6,27,2023-12-05,
Argentina,Embassy,1945,4,19,2023-12-05,
Armenia,Embassy,1992,2,3,2023-12-05,
Australia,Legation,1940,7,17,2023-12-05,
Australia,Embassy,1946,7,9,2023-12-05,
Austria,Legation,1921,11,26,2023-12-05,
Austria,Consulate,1938,4,30,2023-12-05,
Austria,None,1941,7,9,2023-12-05,
Austria,Legation,1946,9,7,2023-12-05,
Austria,Embassy,1951,11,28,2023-12-05,
Austrian Empire,Consulate,1829,10,10,2023-12-05,
Austrian Empire,Legation,1838,11,7,2023-12-05,
Austrian Empire,Embassy,1902,6,26,2023-12-05,
Austrian Empire,None,1917,4,8,2023-12-05,
Azerbaijan,Embassy,1992,3,16,2023-12-05,
Baden,Consulate,1832,7,13,2023-12-05,
Baden,None,1917,2,3,2023-12-05,
"Bahamas, The",Embassy,1973,7,10,2023-12-05,
Bahrain,Embassy,1971,9,21,2023-12-05,
Bangladesh,Consulate,1949,8,29,2023-12-05,
Bangladesh,Embassy,1972,5,18,2023-12-05,
Barbados,Embassy,1966,11,30,2023-12-05,
Bavaria,Consulate,1833,7,4,2023-12-05,
Bavaria,None,1917,2,3,2023-12-05,
Belarus,Embassy,1992,1,31,2023-12-05,
Belgium,Legation,1832,9,25,2023-12-05,
Belgium,Embassy,1919,10,3,2023-12-05,
Belize,Consulate,1847,3,3,2023-12-05,
Belize,Embassy,1981,10,29,2023-12-05,
Benin (Dahomey),Embassy,1961,2,15,2023-12-05,
Bolivia,Legation,1849,1,3,2023-12-05,
Bolivia,Embassy,1942,3,31,2023-12-05,
