stateabb,ccode,statenme,state_dept_name,styear,stmonth,stday,endyear,endmonth,endday,version
USA,2,United States of America,,1816,1,1,2016,12,31,2016
CAN,20,Canada,Canada,1920,1,10,2016,12,31,2016
BHM,31,Bahamas,"Bahamas, The",1973,7,10,2016,12,31,2016
CUB,40,Cuba,Cuba,1902,5,20,1906,9,25,2016
CUB,40,Cuba,Cuba,1909,1,23,2016,12,31,2016
HAI,41,Haiti,Haiti,1859,1,1,1915,7,28,2016
HAI,41,Haiti,Haiti,1934,8,15,2016,12,31,2016
DOM,42,Dominican Republic,Dominican Republic,1894,1,1,1916,11,29,2016
DOM,42,Dominican Republic,Dominican Republic,1924,9,29,2016,12,31,2016
JAM,51,Jamaica,Jamaica,1962,8,6,2016,12,31,2016
TRI,52,Trinidad and Tobago,Trinidad and Tobago,1962,8,31,2016,12,31,2016
BAR,53,Barbados,Barbados,1966,11,30,2016,12,31,2016
DMA,54,Dominica,Dominica,1978,11,3,2016,12,31,2016
GRN,55,Grenada,Grenada,1974,2,7,2016,12,31,2016
SLU,56,St. Lucia,Saint Lucia,1979,2,22,2016,12,31,2016
SVG,57,St. Vincent and the Grenadines,Saint Vincent and the Grenadines,1979,10,27,2016,12,31,2016
AAB,58,Antigua & Barbuda,Antigua and Barbuda,1981,11,1,2016,12,31,2016
SKN,60,St. Kitts and Nevis,Saint Kitts and Nevis,1983,9,19,2016,12,31,2016
MEX,70,Mexico,Mexico,1831,1,1,2016,12,31,2016
BLZ,80,Belize,Belize,1981,9,21,2016,12,31,2016
GUA,90,Guatemala,Guatemala,1868,1,1,2016,12,31,2016
HON,91,Honduras,Honduras,1899,1,1,2016,12,31,2016
SAL,92,El Salvador,El Salvador,1875,1,1,2016,12,31,2016
NIC,93,Nicaragua,Nicaragua,1900,1,1,2016,12,31,2016
COS,94,Costa Rica,Costa Rica,1920,1,1,2016,12,31,2016
PAN,95,Panama,Panama,1903,11,3,2016,12,31,2016
COL,100,Colombia,Colombia,1831,1,1,2016,12,31,2016
VEN,101,Venezuela,Venezuela,1841,1,1,2016,12,31,2016
GUY,110,Guyana,Guyana,1966,5,26,2016,12,31,2016
SUR,115,Suriname,Suriname,1975,11,25,2016,12,31,2016
ECU,130,Ecuador,Ecuador,1854,1,1,2016,12,31,2016
PER,135,Peru,Peru,1839,1,1,2016,12,31,2016
BRA,140,Brazil,Brazil,1822,9,7,2016,12,31,2016
BOL,145,Bolivia,Bolivia,1848,1,1,2016,12,31,2016
PAR,150,Paraguay,Paraguay,1846,1,1,1870,6,20,2016
PAR,150,Paraguay,Paraguay,1876,6,22,2016,12,31,2016
CHL,155,Chile,Chile,1839,1,1,2016,12,31,2016
ARG,160,Argentina,Argentina,1841,1,1,2016,12,31,2016
URU,165,Uruguay,Uruguay,1882,1,1,2016,12,31,2016
UKG,200,United Kingdom,"United Kingdom, The",1816,1,1,2016,12,31,2016
IRE,205,Ireland,Ireland,1922,12,6,2016,12,31,2016
NTH,210,Netherlands,"Netherlands, The",1816,1,1,1940,7,14,2016
NTH,210,Netherlands,"Netherlands, The",1945,6,26,2016,12,31,2016
BEL,211,Belgium,Belgium,1830,12,20,1940,5,28,2016
BEL,211,Belgium,Belgium,1945,6,26,2016,12,31,2016
LUX,212,Luxembourg,Luxembourg,1920,11,15,1940,5,10,2016
LUX,212,Luxembourg,Luxembourg,1944,9,10,2016,12,31,2016
FRN,220,France,France,1816,1,1,1942,11,11,2016
FRN,220,France,France,1944,8,25,2016,12,31,2016
MNC,221,Monaco,Monaco,1993,5,28,2016,12,31,2016
LIE,223,Liechtenstein,Liechtenstein,1990,9,18,2016,12,31,2016
SWZ,225,Switzerland,Switzerland,1816,1,1,2016,12,31,2016
SPN,230,Spain,Spain,1816,1,1,2016,12,31,2016
AND,232,Andorra,Andorra,1993,7,28,2016,12,31,2016
POR,235,Portugal,Portugal,1816,1,1,2016,12,31,2016
HAN,240,Hanover,Hanover,1837,6,20,1866,7,26,2016
BAV,245,Bavaria,Bavaria,1816,1,1,1871,1,18,2016
GMY,255,Germany,Germany,1816,1,1,1945,5,8,2016
GMY,255,Germany,Germany,1990,10,3,2016,12,31,2016
GFR,260,German Federal Republic,Germany,1955,5,5,1990,10,2,2016
GDR,265,German Democratic Republic,East Germany (German Democratic Republic),1954,3,25,1990,10,2,2016
BAD,267,Baden,Baden,1816,1,1,1871,1,18,2016
SAX,269,Saxony,,1816,1,1,1867,4,17,2016
WRT,271,Wuerttemburg,Württemberg,1816,1,1,1871,1,18,2016
HSE,273,Hesse Electoral,,1816,1,1,1866,7,26,2016
HSG,275,Hesse Grand Ducal,Hesse,1816,1,1,1867,4,17,2016
MEC,280,Mecklenburg Schwerin,Mecklenburg-Schwerin,1843,1,1,1867,4,17,2016
POL,290,Poland,Poland,1918,11,3,1939,9,27,2016
POL,290,Poland,Poland,1945,6,28,2016,12,31,2016
AUH,300,Austria-Hungary,Austrian Empire,1816,1,1,1918,11,12,2016
AUS,305,Austria,Austria,1919,9,10,1938,3,13,2016
AUS,305,Austria,Austria,1955,7,27,2016,12,31,2016
HUN,310,Hungary,Hungary,1918,11,16,2016,12,31,2016
CZE,315,Czechoslovakia,Czechoslovakia,1918,10,28,1939,3,15,2016
CZE,315,Czechoslovakia,Czechoslovakia,1945,5,10,1992,12,31,2016
CZR,316,Czech Republic,Czechia,1993,1,1,2016,12,31,2016
SLO,317,Slovakia,Slovakia,1993,1,1,2016,12,31,2016
ITA,325,Italy,Italy,1816,1,1,2016,12,31,2016
PAP,327,Papal States,Papal States,1816,1,1,1860,11,5,2016
SIC,329,Two Sicilies,Two Sicilies,1816,1,1,1861,2,13,2016
SNM,331,San Marino,San Marino,1992,3,2,2016,12,31,2016
MOD,332,Modena,,1842,1,1,1860,3,15,2016
PMA,335,Parma,"Duchy of Parma, The",1851,1,1,1860,3,15,2016
TUS,337,Tuscany,"Grand Duchy of Tuscany, The",1816,1,1,1860,3,15,2016
MLT,338,Malta,Malta,1964,9,21,2016,12,31,2016
ALB,339,Albania,Albania,1914,1,1,1939,4,7,2016
ALB,339,Albania,Albania,1944,11,17,2016,12,31,2016
MNG,341,Montenegro,Montenegro,2006,6,12,2016,12,31,2016
MAC,343,Macedonia,North Macedonia,1993,4,8,2016,12,31,2016
CRO,344,Croatia,Croatia,1992,1,15,2016,12,31,2016
YUG,345,Yugoslavia,Kingdom of Serbia/Yugoslavia,1878,7,13,1941,4,20,2016
YUG,345,Yugoslavia,Kingdom of Serbia/Yugoslavia,1944,10,20,1992,5,20,2016
