statenumber,stateid,countryname,state_dept_name,start,end
396,ABK,Abkhazia,,2008-08-26,2020-12-31
700,AFG,Afghanistan,Afghanistan,1816-01-01,1888-12-30
700,AFG,Afghanistan,Afghanistan,1919-05-01,2020-12-31
339,ALB,Albania,Albania,1913-01-01,2020-12-31
615,ALG,Algeria,Algeria,1816-01-01,1830-07-05
615,ALG,Algeria,Algeria,1962-07-05,2020-12-31
232,AND,Andorra,Andorra,1816-01-01,2020-12-31
540,ANG,Angola,Angola,1975-11-11,2020-12-31
58,AAB,Antigua & Barbuda,Antigua and Barbuda,1981-11-01,2020-12-31
160,ARG,Argentina,Argentina,1816-07-09,2020-12-31
371,ARM,Armenia,Armenia,1991-12-21,2020-12-31
900,AUL,Australia,Australia,1901-01-01,2020-12-31
305,AUS,Austria,Austria,1918-11-14,2020-12-31
300,AUH,Austria-Hungary,Austrian Empire,1816-01-01,1918-11-13
373,AZE,Azerbaijan,Azerbaijan,1991-12-21,2020-12-31
267,BAD,Baden,Baden,1816-01-01,1871-01-17
31,BHM,Bahamas,"Bahamas, The",1973-07-10,2020-12-31
692,BAH,Bahrain,Bahrain,1971-08-15,2020-12-31
771,BNG,Bangladesh,Bangladesh,1971-12-16,2020-12-31
53,BAR,Barbados,Barbados,1966-11-30,2020-12-31
245,BAV,Bavaria,Bavaria,1816-01-01,1871-01-17
370,BLR,Belarus (Byelorussia),Belarus,1991-08-25,2020-12-31
211,BEL,Belgium,Belgium,1830-10-04,2020-12-31
80,BLZ,Belize,Belize,1981-09-21,2020-12-31
434,BEN,Benin,Benin (Dahomey),1960-08-01,2020-12-31
760,BHU,Bhutan,,1949-01-01,2020-12-31
145,BOL,Bolivia,Bolivia,1825-08-06,2020-12-31
346,BOS,Bosnia-Herzegovina,Bosnia and Herzegovina,1992-04-27,2020-12-31
571,BOT,Botswana,Botswana,1966-09-30,2020-12-31
140,BRA,Brazil,Brazil,1822-09-07,2020-12-31
835,BRU,Brunei,Brunei,1984-01-01,2020-12-31
355,BUL,Bulgaria,Bulgaria,1878-03-03,2020-12-31
439,BFO,Burkina Faso (Upper Volta),Burkina Faso (Upper Volta),1960-08-05,2020-12-31
516,BUI,Burundi,Burundi,1962-07-01,2020-12-31
811,CAM,Cambodia (Kampuchea),Cambodia,1953-11-09,2020-12-31
471,CAO,Cameroon,Cameroon,1960-01-01,2020-12-31
20,CAN,Canada,Canada,1867-07-01,2020-12-31
402,CAP,Cape Verde,Cabo Verde,1975-07-05,2020-12-31
482,CEN,Central African Republic,Central African Republic,1960-08-13,2020-12-31
483,CHA,Chad,Chad,1960-08-11,2020-12-31
155,CHL,Chile,Chile,1818-04-01,2020-12-31
710,CHN,China,China,1816-01-01,2020-12-31
100,COL,Colombia,Colombia,1830-09-23,2020-12-31
581,COM,Comoros,Comoros,1975-07-06,2020-12-31
484,CON,Congo,Republic of the Congo,1960-08-15,2020-12-31
490,DRC,"Congo, Democratic Republic of (Zaire)",Democratic Republic of the Congo,1960-06-30,2020-12-31
94,COS,Costa Rica,Costa Rica,1840-01-01,2020-12-31
437,CDI,Cote D’Ivoire,Cote d’Ivoire (Ivory Coast),1960-08-07,2020-12-31
344,CRO,Croatia,Croatia,1992-04-27,2020-12-31
40,CUB,Cuba,Cuba,1902-05-20,2020-12-31
352,CYP,Cyprus,Cyprus,1960-08-16,2020-12-31
316,CZR,Czech Republic,Czechia,1993-01-01,2020-12-31
